Job_Role,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18
Data Scientist,Chai,PySpark,BigQuery,Cloud Computing,Vulkan,Hibernate,Debugging,Leadership,Apache,Security,Math,Simulink,Bitbucket,Redis,Jest,Django,Testing,
Tech Support Engineer,GitLab,Mocha,Airflow,Flask,iOS,Kotlin,Emacs,Snowflake,ETL,Android,Analytics,FPGA,CI/CD,,,,,
Cloud Security Engineer,JIRA,Mocha,Snowflake,BigQuery,Hadoop,Security,Linux CLI,Shell Scripting,API Management,Nuxt.js,OpenGL,PySpark,Flask,ElasticSearch,CI/CD,Testing,Spark,Looker
Compliance Engineer,Bitbucket,VSCode,Jest,Flask,Athena,PySpark,Security,ElasticSearch,ROS,Vulkan,,,,,,,,
NLP Engineer,Testing,CD,Scrum,MongoDB,Snowflake,ElasticSearch,Babel,RESTful API,Flask,GitLab,Vulkan,API Management,Debugging,PySpark,JIRA,Superset,,
Site Reliability Engineer,CD,Airflow,Kotlin,Athena,Apache,Jest,Linux CLI,MongoDB,Vulkan,FPGA,Functional Programming,Webpack,LLVM,Debugging,Hadoop,Spring Boot,AR,
Big Data Engineer,FastAPI,SASS,Mocha,Communication,Leadership,Analytics,Spark,ElasticSearch,,,,,,,,,,
Information Security Analyst,RESTful API,Security,AR,GraphQL,API Management,Scrum,Linux CLI,Spark,ETL,Airflow,VSCode,Apache,Nginx,Django,Matlab,Vulkan,,
VR Developer,Swift,BigQuery,CI/CD,TensorRT,ETL,ROS,VR,Looker,,,,,,,,,,
Big Data Engineer,Jest,Jupyter,Xamarin,Emacs,RESTful API,SQL,Shell Scripting,BigQuery,Django,,,,,,,,,
Security Engineer,Swift,Spark,Nuxt.js,GraphQL,Jupyter,Jest,SQL,ElasticSearch,Analytics,SASS,Bitbucket,OpenGL,,,,,,
UI/UX Designer,NoSQL,Athena,Emacs,RESTful API,ElasticSearch,Hadoop,Analytics,Matlab,FPGA,Snowflake,Kotlin,iOS,,,,,,
Blockchain Developer,ROS,Jest,MongoDB,Verilog,Next.js,Nuxt.js,OOP,Flask,Shell Scripting,Athena,Jupyter,,,,,,,
Integration Engineer,Shell Scripting,Math,OpenGL,Swift,Chai,Kotlin,Nuxt.js,Debugging,RESTful API,JIRA,NoSQL,Analytics,Linux CLI,Snowflake,Verilog,Confluence,,
Data Analyst,Apache,Redis,Computer Vision,Bitbucket,Scrum,Spark,R,FPGA,Hibernate,Verilog,Next.js,Emacs,CI,Security,API Management,,,
Software Engineer,OOP,AR,Apache,ETL,Android,Redux,GitLab,LESS,DSA,LLVM,,,,,,,,
Ethical Hacker,GitLab,Spring Boot,Snowflake,BigQuery,Flask,LESS,System Design,Testing,CI,TensorRT,Leadership,CD,Swift,VSCode,,,,
IoT Engineer,Hibernate,VR,Bitbucket,Functional Programming,Debugging,CD,TensorRT,Athena,Matlab,Leadership,FastAPI,Mocha,Security,,,,,
Embedded Systems Engineer,Xamarin,Leadership,VSCode,ROS,Communication,Next.js,Agile,Jupyter,Django,Webpack,Airflow,Scrum,Functional Programming,SQL,Cloud Computing,iOS,Jest,Vulkan
Infrastructure Engineer,Athena,OOP,Jupyter,Spark,Nuxt.js,LLVM,RESTful API,Flask,ROS,Kotlin,Agile,Computer Vision,Mocha,Simulink,Xamarin,,,
AI Researcher,Webpack,MongoDB,Functional Programming,Bitbucket,Simulink,Chai,Cloud Computing,LESS,Computer Vision,NoSQL,CD,VR,Xamarin,Redis,Airflow,Nuxt.js,,
IoT Engineer,Kotlin,SQL,VR,Xamarin,Apache,Babel,Android,Spark,GitLab,Analytics,CI,PySpark,Matlab,RESTful API,Bitbucket,Django,OpenGL,
Blockchain Developer,VSCode,NoSQL,Functional Programming,OOP,Testing,GitLab,API Management,ETL,Spark,Redis,Spring Boot,Cloud Computing,JIRA,Android,,,,
Machine Learning Engineer,Scrum,NoSQL,TensorRT,JIRA,Shell Scripting,Jest,Hadoop,Confluence,API Management,,,,,,,,,
Data Engineer,Next.js,Math,Functional Programming,Django,CD,Snowflake,ETL,iOS,Looker,Android,,,,,,,,
Robotics Engineer,Debugging,Simulink,Kotlin,Analytics,Security,Kafka,VSCode,Webpack,Jupyter,RESTful API,FPGA,System Design,LLVM,,,,,
System Administrator,DSA,Hibernate,BigQuery,AR,Chai,Snowflake,Math,Shell Scripting,,,,,,,,,,
Security Engineer,Nginx,SASS,Kotlin,Jest,GitLab,Swift,Webpack,Redux,BigQuery,DSA,,,,,,,,
IT Support Specialist,Webpack,Hadoop,Kotlin,RESTful API,Mocha,Verilog,Scrum,Airflow,Cloud Computing,Android,CD,Shell Scripting,Next.js,Hibernate,Linux CLI,GitHub,,
Integration Engineer,Cloud Computing,Django,Matlab,Next.js,Jupyter,Chai,SQL,Android,,,,,,,,,,
Security Engineer,BigQuery,Xamarin,Spark,GitLab,Redis,VSCode,Swift,System Design,Math,Leadership,Nuxt.js,ETL,Next.js,,,,,
Information Security Analyst,GraphQL,CI/CD,API Management,Redux,Nuxt.js,Kafka,SASS,Math,Django,Analytics,,,,,,,,
Information Security Analyst,Looker,Swift,Hadoop,Snowflake,Debugging,Jest,Math,OOP,PySpark,System Design,BigQuery,Kotlin,Confluence,GitHub,ROS,,,
Integration Engineer,Scrum,Django,R,Redis,Webpack,LESS,System Design,OpenGL,Kafka,SASS,Leadership,ETL,FastAPI,Math,Verilog,Spring Boot,Mocha,Redux
Ethical Hacker,Security,Kotlin,VSCode,Nuxt.js,GitLab,Chai,Jest,JIRA,R,Confluence,FastAPI,ROS,Functional Programming,BigQuery,Spark,Babel,Superset,
Tech Support Engineer,NoSQL,CI,Kotlin,Mocha,Security,Nuxt.js,Next.js,Babel,Matlab,,,,,,,,,
Game Designer,Next.js,Jest,Flask,Redis,Scrum,CI,Webpack,TensorRT,Verilog,Debugging,Vulkan,Linux CLI,Nuxt.js,Cloud Computing,SQL,CI/CD,Redux,
Scrum Master,Xamarin,LLVM,TensorRT,Webpack,ElasticSearch,SQL,Athena,Superset,Jupyter,Jest,Hadoop,Spring Boot,Spark,JIRA,,,,
Cybersecurity Analyst,Verilog,LESS,Looker,CD,TensorRT,Hibernate,Storybook,R,SASS,,,,,,,,,
System Administrator,AR,Linux CLI,Shell Scripting,Swift,Security,Computer Vision,JIRA,OpenGL,VR,Android,Storybook,,,,,,,
Cloud Security Engineer,GraphQL,Nginx,Shell Scripting,Webpack,ETL,AR,DSA,Jest,GitLab,NoSQL,CI/CD,Security,,,,,,
Database Administrator,Airflow,PySpark,CD,Swift,Security,OpenGL,Bitbucket,Redis,Jest,iOS,FastAPI,,,,,,,
Digital Forensics Analyst,Mocha,Vulkan,Snowflake,Scrum,CI/CD,Nuxt.js,Airflow,GraphQL,Math,OpenGL,,,,,,,,
Test Engineer,SQL,Apache,Testing,GraphQL,CI,Babel,OpenGL,JIRA,BigQuery,,,,,,,,,
Test Engineer,Xamarin,RESTful API,GitHub,Communication,API Management,System Design,Confluence,Analytics,Shell Scripting,CI/CD,JIRA,Security,,,,,,
Test Engineer,Computer Vision,Hibernate,AR,Shell Scripting,Jest,Matlab,MongoDB,Leadership,Django,Vulkan,ROS,ETL,Analytics,,,,,
Technical Lead,Nuxt.js,Webpack,Computer Vision,MongoDB,CI,Confluence,NoSQL,Hibernate,Looker,FastAPI,Functional Programming,Next.js,Swift,Shell Scripting,PySpark,,,
Tech Evangelist,Jupyter,Computer Vision,VR,Mocha,Leadership,Testing,Emacs,MongoDB,Spark,Chai,API Management,Snowflake,FastAPI,Matlab,,,,
Game Developer,ETL,Airflow,ROS,AR,Athena,MongoDB,Superset,LESS,Security,Jupyter,CD,SQL,Confluence,CI,Kotlin,FPGA,Mocha,
Ethical Hacker,Babel,Vulkan,ETL,Kotlin,BigQuery,System Design,CI,FPGA,,,,,,,,,,
Web3 Developer,LESS,Airflow,Math,Matlab,Functional Programming,Chai,LLVM,SASS,Linux CLI,iOS,CD,BigQuery,Analytics,API Management,CI/CD,,,
IT Project Manager,Computer Vision,OpenGL,Agile,Spark,FPGA,Functional Programming,NoSQL,Leadership,Communication,Nginx,Apache,PySpark,FastAPI,Nuxt.js,Xamarin,R,VSCode,Testing
Database Administrator,SQL,AR,ETL,Hadoop,Spring Boot,Jupyter,API Management,Kotlin,Hibernate,Webpack,,,,,,,,
Ethical Hacker,Debugging,Confluence,Simulink,TensorRT,Jupyter,Kafka,API Management,Security,,,,,,,,,,
Cloud Security Engineer,GitHub,Spring Boot,Nuxt.js,GraphQL,Mocha,Hibernate,Scrum,Storybook,AR,VSCode,Agile,API Management,Bitbucket,Chai,Looker,Matlab,ElasticSearch,PySpark
Business Intelligence Analyst,Redux,LESS,Functional Programming,MongoDB,TensorRT,Hadoop,Leadership,Looker,Debugging,ElasticSearch,SASS,,,,,,,
Streaming Engineer,Testing,Babel,Snowflake,JIRA,Scrum,Airflow,Bitbucket,API Management,MongoDB,Leadership,Webpack,Linux CLI,Vulkan,GitHub,,,,
Data Analyst,GitLab,CI,AR,Redux,Leadership,DSA,Android,API Management,Flask,Security,GitHub,Airflow,SQL,Bitbucket,Next.js,Kotlin,,
Cybersecurity Analyst,RESTful API,Redis,Nginx,OOP,Vulkan,Athena,Cloud Computing,VSCode,,,,,,,,,,
IT Consultant,RESTful API,Confluence,Looker,Redux,LESS,OpenGL,FastAPI,VSCode,Analytics,,,,,,,,,
Technical Lead,Functional Programming,Xamarin,Kotlin,Snowflake,Jupyter,Communication,Analytics,VSCode,,,,,,,,,,
Network Engineer,ROS,Storybook,OpenGL,Xamarin,Leadership,Spark,GraphQL,Next.js,GitLab,MongoDB,Superset,CI/CD,Jupyter,Verilog,SQL,AR,,
Game Designer,Nginx,Xamarin,Superset,OpenGL,Kotlin,LESS,Verilog,ElasticSearch,GitHub,,,,,,,,,
DevOps Engineer,GraphQL,DSA,GitHub,ROS,Kotlin,API Management,Emacs,iOS,,,,,,,,,,
Test Engineer,Webpack,Hadoop,Functional Programming,Confluence,RESTful API,MongoDB,Mocha,Redis,Jest,LESS,NoSQL,Verilog,iOS,SQL,,,,
Game Designer,Jupyter,Analytics,Confluence,Xamarin,VSCode,Computer Vision,Kafka,Matlab,Jest,Chai,CI/CD,,,,,,,
NLP Engineer,Swift,Xamarin,Airflow,Bitbucket,Nginx,Emacs,Simulink,JIRA,iOS,,,,,,,,,
IT Consultant,Math,Shell Scripting,Kafka,FPGA,Leadership,Airflow,CD,Android,CI/CD,API Management,Hadoop,Swift,PySpark,Debugging,Superset,Security,Communication,
Big Data Engineer,Kotlin,CD,TensorRT,Leadership,DSA,Redux,Xamarin,Matlab,FastAPI,Cloud Computing,Athena,FPGA,Analytics,Nginx,,,,
AR/VR Developer,Leadership,System Design,NoSQL,Spring Boot,Communication,R,Snowflake,Kafka,,,,,,,,,,
DevOps Engineer,Cloud Computing,Xamarin,Emacs,Matlab,ROS,Simulink,Jest,Next.js,Mocha,Snowflake,API Management,VSCode,iOS,LLVM,Swift,,,
Network Engineer,AR,API Management,CI/CD,Apache,BigQuery,Mocha,Redis,RESTful API,,,,,,,,,,
Machine Learning Engineer,Redis,TensorRT,Redux,GraphQL,Emacs,Shell Scripting,Athena,Functional Programming,Simulink,System Design,OOP,,,,,,,
AI Engineer,Testing,Flask,TensorRT,Communication,Hadoop,Superset,LLVM,BigQuery,Kotlin,LESS,OOP,Redis,,,,,,
Compliance Engineer,CI/CD,Nuxt.js,VSCode,Emacs,Matlab,Agile,Verilog,Django,Redis,Math,Hibernate,Athena,,,,,,
Computer Vision Engineer,DSA,FPGA,LLVM,GraphQL,Flask,VSCode,Cloud Computing,ROS,Leadership,,,,,,,,,
IoT Engineer,Athena,GraphQL,SQL,Xamarin,Nginx,Matlab,Superset,Mocha,Looker,CD,Bitbucket,iOS,Flask,NoSQL,BigQuery,Simulink,Jest,Babel
Frontend Developer,R,Nginx,Storybook,FPGA,Athena,Kafka,Redux,ETL,Spring Boot,Jupyter,GitLab,LLVM,Swift,OOP,GraphQL,Babel,Shell Scripting,
Machine Learning Engineer,OpenGL,RESTful API,Snowflake,Emacs,iOS,Shell Scripting,Kafka,GitLab,Xamarin,,,,,,,,,
Frontend Developer,Debugging,Scrum,Redis,Math,NoSQL,Superset,Athena,Hadoop,Hibernate,Analytics,Chai,OpenGL,,,,,,
Streaming Engineer,AR,Snowflake,System Design,Shell Scripting,Flask,Xamarin,Functional Programming,Django,Hibernate,Jest,Emacs,JIRA,OpenGL,Next.js,Linux CLI,Athena,,
Site Reliability Engineer,CI/CD,Matlab,Athena,Webpack,Django,System Design,Confluence,NoSQL,OpenGL,Xamarin,Looker,Superset,Nuxt.js,Jest,BigQuery,ETL,Snowflake,
Network Engineer,Math,Communication,Kotlin,iOS,Athena,Superset,Analytics,Storybook,BigQuery,System Design,Security,Emacs,Leadership,,,,,
Database Administrator,Nginx,Hibernate,FPGA,Simulink,Debugging,PySpark,CI,iOS,Security,LLVM,Redis,RESTful API,Math,Babel,Nuxt.js,Chai,System Design,ROS
Big Data Engineer,GraphQL,Snowflake,FastAPI,Swift,Spark,ETL,Debugging,Athena,Agile,CI/CD,LLVM,GitHub,Next.js,Bitbucket,LESS,,,
Tech Evangelist,Superset,Linux CLI,Leadership,Babel,Webpack,Redux,FastAPI,Confluence,Hadoop,Kotlin,Analytics,Airflow,LESS,Simulink,API Management,Mocha,Next.js,
QA Engineer,iOS,CI/CD,Security,Emacs,Kafka,Jupyter,Testing,VSCode,Vulkan,Leadership,,,,,,,,
Computer Vision Engineer,Security,DSA,Emacs,CI,Agile,Nuxt.js,CI/CD,VR,Bitbucket,MongoDB,System Design,,,,,,,
DevOps Engineer,TensorRT,ElasticSearch,MongoDB,Vulkan,Agile,API Management,Swift,Jupyter,NoSQL,Computer Vision,Redux,OpenGL,,,,,,
Database Administrator,Functional Programming,Emacs,FPGA,OOP,MongoDB,AR,Swift,FastAPI,CI/CD,Testing,Android,LESS,Next.js,BigQuery,,,,
Backend Developer,Bitbucket,Shell Scripting,Looker,Math,OpenGL,Analytics,Debugging,Computer Vision,Swift,Kafka,CD,GraphQL,OOP,Nginx,,,,
IoT Engineer,Superset,Storybook,Bitbucket,BigQuery,GitLab,MongoDB,FPGA,TensorRT,Math,Babel,Testing,CD,Jest,CI,DSA,Mocha,Hibernate,
Game Designer,Testing,Athena,R,Swift,Analytics,Simulink,Apache,Verilog,Nginx,,,,,,,,,
Web Developer,Athena,CI,Agile,Babel,Hibernate,Analytics,Xamarin,Functional Programming,API Management,Spark,Mocha,,,,,,,
NLP Engineer,Vulkan,OpenGL,FastAPI,TensorRT,GitLab,Kafka,VSCode,DSA,Shell Scripting,Hadoop,Math,Kotlin,,,,,,
Test Engineer,Android,Superset,Confluence,OpenGL,BigQuery,Cloud Computing,TensorRT,Swift,Bitbucket,CI/CD,Athena,VSCode,Airflow,GitLab,LESS,CI,,
QA Engineer,ETL,Jupyter,Spark,Spring Boot,Swift,Snowflake,Shell Scripting,Athena,Redis,,,,,,,,,
Web Developer,VSCode,Django,Kafka,GraphQL,Airflow,Security,Agile,JIRA,TensorRT,OOP,Functional Programming,Simulink,Computer Vision,,,,,
Frontend Developer,Simulink,DSA,CD,OpenGL,Redux,Next.js,ETL,ROS,Bitbucket,R,PySpark,Security,System Design,,,,,
IT Support Specialist,GitLab,System Design,Scrum,Airflow,Android,Looker,BigQuery,Redux,ROS,Communication,Hibernate,RESTful API,GraphQL,DSA,Confluence,Analytics,,
Integration Engineer,ElasticSearch,GraphQL,Spring Boot,Mocha,TensorRT,ETL,PySpark,LLVM,Athena,Matlab,,,,,,,,
IT Support Specialist,Hadoop,PySpark,Communication,CI/CD,Hibernate,API Management,Math,Chai,MongoDB,Security,AR,GitHub,LLVM,Jest,,,,
Mobile Developer,BigQuery,Superset,Verilog,Computer Vision,Confluence,Looker,Simulink,FPGA,GitHub,Analytics,iOS,Linux CLI,SQL,OpenGL,Testing,Webpack,,
Ethical Hacker,CI,Linux CLI,CD,Superset,Next.js,RESTful API,Snowflake,GitLab,Security,Cloud Computing,,,,,,,,
Cloud Security Engineer,BigQuery,Spring Boot,Apache,Airflow,VSCode,NoSQL,LESS,PySpark,ETL,Debugging,TensorRT,Agile,,,,,,
Compliance Engineer,Looker,Django,Redux,Vulkan,OpenGL,CI/CD,Security,Flask,Snowflake,Kafka,Verilog,Webpack,Debugging,Agile,,,,
Compliance Engineer,Django,Spring Boot,iOS,Android,Superset,SQL,Xamarin,Hadoop,Mocha,API Management,Leadership,Shell Scripting,Jupyter,,,,,
VR Developer,Confluence,iOS,Emacs,Kotlin,Math,Superset,DSA,Jest,Leadership,R,JIRA,,,,,,,
Realtime System Engineer,VSCode,ROS,Leadership,JIRA,BigQuery,Nuxt.js,MongoDB,Kafka,Functional Programming,NoSQL,Athena,Superset,Scrum,Mocha,,,,
Ethical Hacker,Nginx,System Design,Kotlin,Kafka,GitLab,Hadoop,Superset,Athena,GitHub,API Management,MongoDB,,,,,,,
UI/UX Designer,Athena,Swift,Flask,Math,BigQuery,Mocha,Django,Bitbucket,DSA,,,,,,,,,
Network Engineer,Android,Computer Vision,Babel,ETL,Xamarin,RESTful API,OpenGL,SASS,Django,Redux,Math,Athena,NoSQL,Next.js,Airflow,,,
Computer Vision Engineer,Storybook,OOP,Swift,Redis,Airflow,Athena,ROS,Shell Scripting,Communication,Webpack,MongoDB,R,Flask,JIRA,ETL,,,
Machine Learning Engineer,BigQuery,Confluence,ElasticSearch,LLVM,Spark,ROS,Nginx,Looker,Spring Boot,System Design,Airflow,Emacs,Nuxt.js,Linux CLI,SASS,,,
QA Engineer,FastAPI,CI/CD,System Design,GitHub,Computer Vision,Mocha,Testing,Superset,Kotlin,R,OpenGL,NoSQL,,,,,,
NLP Engineer,Redis,GraphQL,Android,Shell Scripting,Bitbucket,LESS,Spring Boot,Leadership,BigQuery,,,,,,,,,
Cloud Security Engineer,VR,Cloud Computing,Jest,Verilog,DSA,Nuxt.js,Kotlin,ETL,Xamarin,iOS,CI/CD,Athena,Storybook,Next.js,Functional Programming,Hadoop,Redis,
IT Support Specialist,Agile,Redis,DSA,Storybook,GitHub,OpenGL,Vulkan,Jest,Nginx,,,,,,,,,
AI Researcher,Athena,FPGA,LESS,VR,Leadership,GraphQL,SQL,SASS,CI,Next.js,Linux CLI,Kotlin,OpenGL,Chai,Cloud Computing,PySpark,Scrum,Redis
Blockchain Developer,Webpack,Nginx,Superset,DSA,Analytics,ETL,Kotlin,Functional Programming,R,System Design,FPGA,Shell Scripting,Jest,CI,LLVM,FastAPI,,
Machine Learning Engineer,R,Athena,Functional Programming,Kotlin,MongoDB,Snowflake,Linux CLI,Kafka,Security,Math,Android,Communication,SASS,Jupyter,Looker,Emacs,Cloud Computing,
Big Data Engineer,Hadoop,AR,Flask,Storybook,Bitbucket,JIRA,ROS,Apache,Redis,Emacs,OOP,Debugging,Functional Programming,FastAPI,GraphQL,,,
Robotics Engineer,Swift,Superset,Hadoop,Next.js,TensorRT,Functional Programming,Linux CLI,FastAPI,Agile,Confluence,Jest,Cloud Computing,CI,CD,Bitbucket,Android,ETL,
Site Admin,Functional Programming,Bitbucket,MongoDB,ROS,Scrum,DSA,Confluence,Analytics,Spark,Agile,Communication,Kotlin,,,,,,
IoT Engineer,CI/CD,Hadoop,Android,Matlab,Looker,Snowflake,Airflow,Cloud Computing,Bitbucket,SQL,Computer Vision,Testing,FastAPI,Verilog,Math,Leadership,,
BI Developer,Nginx,VR,GraphQL,Communication,Redis,Superset,Kotlin,LLVM,Verilog,Webpack,LESS,CD,API Management,Spark,Vulkan,Spring Boot,,
IT Project Manager,Jest,Analytics,DSA,ROS,Babel,iOS,Matlab,RESTful API,System Design,,,,,,,,,
Scrum Master,GitLab,GitHub,Flask,SQL,RESTful API,Storybook,Apache,Functional Programming,Hibernate,Communication,Android,Simulink,Confluence,OOP,,,,
Robotics Engineer,Debugging,DSA,Kafka,Functional Programming,ElasticSearch,Scrum,Nginx,Nuxt.js,Django,Jest,,,,,,,,
Security Engineer,System Design,Redis,DSA,Agile,FastAPI,Debugging,CI/CD,Kafka,Analytics,R,AR,TensorRT,,,,,,
Robotics Engineer,ElasticSearch,MongoDB,Xamarin,Redis,OpenGL,Apache,Storybook,Superset,Linux CLI,Redux,Agile,Debugging,CI,Django,,,,
Digital Forensics Analyst,Next.js,Computer Vision,Redis,Babel,AR,Analytics,NoSQL,Redux,Athena,Security,Spring Boot,Looker,,,,,,
AI Researcher,Shell Scripting,ETL,Nuxt.js,TensorRT,GitLab,Emacs,Kotlin,Simulink,PySpark,,,,,,,,,
Research Engineer,OOP,ElasticSearch,Spark,RESTful API,CI,iOS,ETL,Swift,Django,Verilog,Android,Airflow,Nuxt.js,Security,TensorRT,GraphQL,Leadership,
UI/UX Designer,Spark,Redis,Django,Spring Boot,DSA,System Design,Cloud Computing,MongoDB,Babel,Jest,Leadership,,,,,,,
Web Developer,PySpark,Android,Jest,R,GitHub,Matlab,Spark,CD,Computer Vision,Webpack,FastAPI,SQL,ROS,LESS,,,,
IoT Engineer,SASS,Chai,RESTful API,Spark,FPGA,CD,Linux CLI,CI/CD,GitLab,Redis,Mocha,R,SQL,Cloud Computing,NoSQL,Shell Scripting,Agile,
Cloud Engineer,Verilog,Communication,Kotlin,iOS,Computer Vision,Athena,Simulink,LLVM,Vulkan,Looker,ETL,Snowflake,GraphQL,,,,,
BI Developer,Webpack,VSCode,FPGA,Swift,Hadoop,Shell Scripting,Debugging,Kafka,Nuxt.js,ElasticSearch,Confluence,GitHub,,,,,,
Cloud Engineer,JIRA,ETL,RESTful API,Kotlin,Spring Boot,Android,MongoDB,OpenGL,PySpark,,,,,,,,,
System Administrator,ROS,BigQuery,Confluence,Agile,Spark,NoSQL,Redis,Looker,Flask,FastAPI,,,,,,,,
Tech Support Engineer,Nuxt.js,Storybook,Cloud Computing,Hibernate,RESTful API,OpenGL,SASS,Webpack,Hadoop,,,,,,,,,
Streaming Engineer,GitHub,Confluence,API Management,NoSQL,ElasticSearch,ETL,SASS,LLVM,Spark,Jupyter,Leadership,Vulkan,Cloud Computing,Athena,Analytics,,,
Security Engineer,iOS,Security,BigQuery,Kafka,Nginx,Webpack,Debugging,Kotlin,Apache,Verilog,Hibernate,Swift,Shell Scripting,GraphQL,System Design,,,
Scrum Master,GraphQL,Math,LLVM,FastAPI,Analytics,OOP,Xamarin,Apache,Django,Emacs,R,Spring Boot,Jupyter,DSA,Redux,Kotlin,Nuxt.js,RESTful API
Tech Support Engineer,Snowflake,CD,Athena,Scrum,CI,Next.js,Nginx,Vulkan,SQL,Xamarin,GitLab,,,,,,,
IT Consultant,VSCode,Redis,DSA,Leadership,OOP,Xamarin,GitLab,Analytics,VR,Agile,SQL,Matlab,,,,,,
Integration Engineer,Hadoop,Kotlin,Apache,Simulink,Emacs,Linux CLI,Leadership,Jest,CD,Agile,VR,Debugging,Shell Scripting,,,,,
Tech Evangelist,Leadership,Testing,GitHub,API Management,Scrum,FastAPI,GitLab,Flask,NoSQL,ROS,GraphQL,Kafka,Agile,Shell Scripting,AR,Functional Programming,Jest,VSCode
DevOps Engineer,Verilog,Nuxt.js,Xamarin,Swift,Functional Programming,Redux,Kotlin,Nginx,VR,FastAPI,iOS,Cloud Computing,SASS,JIRA,OOP,Communication,,
Technical Lead,Security,FastAPI,Testing,R,Debugging,Athena,OpenGL,Functional Programming,Mocha,Kotlin,Redux,Confluence,,,,,,
NLP Engineer,Kafka,Computer Vision,Android,CI,Kotlin,DSA,Bitbucket,Scrum,Storybook,TensorRT,GitHub,MongoDB,Next.js,Babel,Looker,GitLab,FPGA,
Cloud Security Engineer,Android,TensorRT,OpenGL,AR,NoSQL,FastAPI,Functional Programming,Math,ElasticSearch,Cloud Computing,Xamarin,,,,,,,
Game Designer,LLVM,Analytics,Hadoop,Debugging,JIRA,Looker,GraphQL,VSCode,DSA,Spark,Spring Boot,Agile,Xamarin,Redux,Storybook,NoSQL,,
Infrastructure Engineer,Emacs,RESTful API,LESS,Athena,Hadoop,Chai,Redis,Airflow,Confluence,Math,,,,,,,,
Site Admin,NoSQL,TensorRT,Leadership,Redux,Functional Programming,Analytics,GitLab,LESS,Xamarin,,,,,,,,,
Blockchain Developer,Spark,Scrum,Spring Boot,Analytics,Mocha,Next.js,Storybook,Redis,PySpark,MongoDB,Jest,FPGA,RESTful API,Nginx,Functional Programming,Swift,,
Cloud Security Engineer,Xamarin,Emacs,Apache,Matlab,Shell Scripting,Athena,LESS,Looker,Hibernate,,,,,,,,,
AI Researcher,Confluence,iOS,Babel,Storybook,CI/CD,Spark,AR,SASS,GitHub,Emacs,,,,,,,,
Security Engineer,Computer Vision,DSA,Leadership,Testing,Redux,LESS,Confluence,Looker,Spring Boot,ETL,Math,Superset,API Management,OpenGL,,,,
UI/UX Designer,CI/CD,ROS,Hadoop,Storybook,Xamarin,Swift,FastAPI,Linux CLI,ETL,Chai,,,,,,,,
Integration Engineer,Kotlin,Kafka,LLVM,GitHub,Spring Boot,ElasticSearch,Computer Vision,Apache,SQL,Linux CLI,Airflow,Hadoop,Django,TensorRT,,,,
Tech Support Engineer,AR,Redis,VR,ETL,Jest,RESTful API,Nuxt.js,Chai,,,,,,,,,,
Network Engineer,NoSQL,API Management,Linux CLI,TensorRT,Flask,Matlab,Jupyter,Looker,Snowflake,Kotlin,Computer Vision,Django,DSA,Agile,SQL,Spark,,
Blockchain Developer,Looker,Kotlin,Functional Programming,Security,GraphQL,Next.js,FPGA,GitLab,Spark,Django,Hadoop,Bitbucket,CD,Chai,Nginx,VSCode,,
Data Scientist,Webpack,Jest,Storybook,Debugging,Redux,CI/CD,MongoDB,Analytics,Kafka,Emacs,VR,BigQuery,FastAPI,Looker,Matlab,,,
AI Researcher,VSCode,Superset,iOS,GraphQL,Agile,Next.js,Verilog,Looker,GitHub,,,,,,,,,
Web3 Developer,SQL,PySpark,Kafka,OpenGL,SASS,ROS,Linux CLI,TensorRT,Bitbucket,Redis,Chai,Confluence,Verilog,Spring Boot,Redux,,,
AI Researcher,Redux,Spark,VSCode,Functional Programming,Cloud Computing,R,FPGA,Jupyter,NoSQL,FastAPI,Emacs,Confluence,Hadoop,PySpark,Linux CLI,,,
Information Security Analyst,ETL,Security,Kafka,VSCode,Webpack,Django,Computer Vision,RESTful API,OpenGL,GraphQL,Spark,Analytics,Testing,Flask,Chai,Hadoop,Looker,CD
Network Engineer,ElasticSearch,Debugging,FPGA,Jupyter,Testing,Webpack,Snowflake,CD,Security,AR,Spark,Kotlin,Mocha,Redis,,,,
Cloud Security Engineer,BigQuery,Superset,VR,Django,Spring Boot,Nginx,ElasticSearch,Swift,Confluence,API Management,R,Hibernate,FPGA,Redux,Snowflake,ROS,,
Cloud Security Engineer,Hibernate,Simulink,Verilog,iOS,System Design,API Management,ElasticSearch,Redis,LESS,Mocha,Jupyter,Nuxt.js,TensorRT,CI/CD,OpenGL,Confluence,Webpack,Agile
QA Engineer,Kafka,System Design,LLVM,Linux CLI,Jupyter,GitLab,Snowflake,BigQuery,Apache,CD,Mocha,Computer Vision,Nginx,Kotlin,Athena,,,
Blockchain Developer,Redis,OpenGL,Matlab,System Design,Superset,Verilog,ElasticSearch,Testing,Swift,Communication,GitLab,Looker,RESTful API,TensorRT,,,,
Scrum Master,Debugging,Webpack,Testing,Mocha,TensorRT,Spark,LESS,Hibernate,CD,CI,OOP,Matlab,Django,BigQuery,Communication,Nginx,Math,
UI/UX Designer,Matlab,Snowflake,Vulkan,Computer Vision,Swift,MongoDB,Kotlin,Spring Boot,Testing,Jest,Verilog,Linux CLI,JIRA,Redis,Hadoop,API Management,Communication,BigQuery
